Date, Close/Last, Volume, Open, High, Low
03/23/2020, $46.42, 8613431, $46.07, $46.8, $45.1
03/20/2020, $45.25, 8911110, $46.69, $46.74, $45.08
03/19/2020, $45.3, 7809178, $44.09, $45.77, $43.75
03/18/2020, $42.28, 8460337, $41.59, $43.85, $41.2
03/17/2020, $44.54, 8603790, $43.42, $45.2, $43.15
03/16/2020, $42.06, 9104530, $41.25, $43.48, $40.8
03/13/2020, $46.24, 8499901, $47.58, $47.6, $44.64
03/12/2020, $43.68, 11802860, $43.62, $44.84, $43.5
03/11/2020, $47.63, 6092946, $48.31, $48.53, $47.51
03/10/2020, $49.56, 5071647, $49.6, $49.9, $48.58
03/09/2020, $47.76, 6861654, $47.99, $48.63, $47.5
03/06/2020, $50.09, 4817364, $50.25, $50.6, $49.52
03/05/2020, $51.68, 6867154, $51.66, $51.95, $51.1
03/04/2020, $51.23, 4213589, $50.78, $51.37, $50.73
03/03/2020, $50.19, 5335933, $50.99, $51.18, $49.88
03/02/2020, $50.22, 6001304, $49.65, $50.24, $49.34
02/28/2020, $49.65, 7163417, $48.21, $49.7, $48.16
02/27/2020, $49.84, 8508571, $50.26, $50.78, $49.66
02/26/2020, $51.05, 6239432, $51.175, $51.56, $51.01
02/25/2020, $50.41, 7824408, $51.15, $51.35, $50.31
02/24/2020, $49.41, 4669944, $48.72, $49.74, $48.69
02/21/2020, $51.47, 4103520, $51.74, $51.88, $51.21
02/20/2020, $52.26, 3588992, $52.8, $52.8, $52.03
02/19/2020, $53.2, 3497124, $52.9, $53.34, $52.881
02/18/2020, $52.845, 2692083, $52.48, $52.88, $52.4
02/14/2020, $53.3, 2513287, $53.31, $53.44, $53.06
02/13/2020, $53.52, 3460685, $53.4, $53.75, $53.15
02/12/2020, $53.49, 4969346, $53.13, $53.75, $52.81
02/11/2020, $52.7, 5289365, $52.73, $53.25, $52.55
02/10/2020, $51.96, 3547539, $51.06, $52.07, $51
02/07/2020, $51.05, 4114930, $51.1, $51.28, $50.84
02/06/2020, $51.42, 3259839, $51.29, $51.61, $50.95
02/05/2020, $50.84, 5240532, $51.45, $51.55, $50.25
02/04/2020, $51.1, 4850927, $51.34, $51.6, $51.1
02/03/2020, $49.44, 5344059, $48.76, $49.54, $48.65
01/31/2020, $47.91, 5588797, $47.93, $47.98, $47.53
01/30/2020, $49.08, 5431074, $48.11, $49.21, $48.08
01/29/2020, $49.53, 6089230, $49.52, $49.56, $49.03
01/28/2020, $48.22, 7210566, $47.55, $48.48, $47.4
01/27/2020, $47.42, 9271000, $46.38, $47.7, $46.26
